config_name,rep,generation,is_active_generation,job_id,flush_completion_time,time_micros,flush_reason,generation_range_deletions,cumulative_flushed_range_deletions,pre_flush_logical_bytes,output_sst_bytes,window
Native-T512,5,3,False,7,2026-09-07 22:39:18.261406,1788791958261406,Memtable Max Range Deletions,512,1536,243942,52989,foreground
Native-T512,5,4,False,8,2026-09-07 22:39:18.277356,1788791958277356,Memtable Max Range Deletions,512,2048,243093,53063,foreground
Native-T512,5,5,False,9,2026-09-07 22:39:18.302927,1788791958302927,Memtable Max Range Deletions,512,2560,243093,53082,foreground
Native-T512,5,6,False,10,2026-09-07 22:39:18.322587,1788791958322587,Memtable Max Range Deletions,514,3074,242328,52856,foreground
Native-T512,5,7,False,12,2026-09-07 22:39:18.347963,1788791958347963,Memtable Max Range Deletions,512,3586,240263,52659,foreground
Native-T512,5,8,False,13,2026-09-07 22:39:18.366734,1788791958366734,Memtable Max Range Deletions,512,4098,245357,53262,foreground
Native-T512,5,9,False,14,2026-09-07 22:39:18.390476,1788791958390476,Memtable Max Range Deletions,512,4610,239980,52571,foreground
Native-T512,5,10,False,17,2026-09-07 22:39:18.417140,1788791958417140,Memtable Max Range Deletions,514,5124,232989,51946,foreground
Native-T512,5,11,False,19,2026-09-07 22:39:18.456570,1788791958456570,Memtable Max Range Deletions,513,5637,235494,52057,foreground
Native-T512,5,12,False,20,2026-09-07 22:39:18.494311,1788791958494311,Memtable Max Range Deletions,513,6150,245965,53174,foreground
Native-T512,5,13,False,22,2026-09-07 22:39:18.564241,1788791958564241,Memtable Max Range Deletions,512,6662,233754,51897,foreground
Native-T512,5,14,False,27,2026-09-07 22:39:18.663524,1788791958663524,Memtable Max Range Deletions,512,7174,236584,52197,foreground
Native-T512,5,15,False,28,2026-09-07 22:39:18.727974,1788791958727974,Memtable Max Range Deletions,512,7686,240546,52776,foreground
Native-T512,5,16,False,29,2026-09-07 22:39:18.782276,1788791958782276,Memtable Max Range Deletions,512,8198,229226,51406,foreground
Native-T512,5,17,False,30,2026-09-07 22:39:18.864449,1788791958864449,Memtable Max Range Deletions,514,8712,234970,52010,foreground
Native-T512,5,18,False,32,2026-09-07 22:39:18.961782,1788791958961782,Memtable Max Range Deletions,513,9225,232098,51766,foreground
Native-T512,5,19,False,33,2026-09-07 22:39:19.018418,1788791959018418,Memtable Max Range Deletions,512,9737,237150,52218,foreground
Native-T512,5,20,False,34,2026-09-07 22:39:19.089282,1788791959089282,Memtable Max Range Deletions,514,10251,241762,52797,foreground
Native-T512,5,21,False,37,2026-09-07 22:39:19.146210,1788791959146210,Memtable Max Range Deletions,512,10763,242527,53085,foreground
Native-T512,5,22,False,38,2026-09-07 22:39:19.202884,1788791959202884,Memtable Max Range Deletions,512,11275,258658,54840,foreground
Native-T512,5,23,False,39,2026-09-07 22:39:19.261089,1788791959261089,Memtable Max Range Deletions,512,11787,238565,52429,foreground
Native-T512,5,24,False,40,2026-09-07 22:39:19.319547,1788791959319547,Memtable Max Range Deletions,512,12299,231773,51786,foreground
Native-T512,5,25,False,42,2026-09-07 22:39:19.381187,1788791959381187,Memtable Max Range Deletions,512,12811,243093,52922,foreground
Native-T512,5,26,False,43,2026-09-07 22:39:19.440293,1788791959440293,Memtable Max Range Deletions,512,13323,241112,52800,foreground
Native-T512,5,27,False,44,2026-09-07 22:39:19.497070,1788791959497070,Memtable Max Range Deletions,512,13835,233754,51911,foreground
Native-T512,5,28,False,47,2026-09-07 22:39:19.556190,1788791959556190,Memtable Max Range Deletions,512,14347,243942,53057,foreground
Native-T512,5,29,False,49,2026-09-07 22:39:19.620687,1788791959620687,Memtable Max Range Deletions,512,14859,239980,52486,foreground
Native-T512,5,30,False,50,2026-09-07 22:39:19.678613,1788791959678613,Memtable Max Range Deletions,512,15371,247904,53564,foreground
Native-T512,5,31,False,53,2026-09-07 22:39:19.738427,1788791959738427,Memtable Max Range Deletions,512,15883,235735,52091,foreground
Native-T512,5,32,False,54,2026-09-07 22:39:19.803362,1788791959803362,Memtable Max Range Deletions,512,16395,240829,52742,foreground
Native-T512,5,33,False,55,2026-09-07 22:39:19.862792,1788791959862792,Memtable Max Range Deletions,512,16907,232622,51593,foreground
Native-T512,5,34,False,56,2026-09-07 22:39:19.923014,1788791959923014,Memtable Max Range Deletions,512,17419,237716,52308,foreground
Native-T512,5,35,False,58,2026-09-07 22:39:19.986002,1788791959986002,Memtable Max Range Deletions,512,17931,232905,51825,foreground
Native-T512,5,36,False,59,2026-09-07 22:39:20.041901,1788791960041901,Memtable Max Range Deletions,512,18443,245923,53217,foreground
Native-T512,5,37,False,60,2026-09-07 22:39:20.099302,1788791960099302,Memtable Max Range Deletions,512,18955,239131,52324,foreground
Native-T512,5,38,False,63,2026-09-07 22:39:20.146933,1788791960146933,Memtable Max Range Deletions,512,19467,230358,51348,foreground
Native-T512,5,39,False,64,2026-09-07 22:39:20.236927,1788791960236927,Memtable Max Range Deletions,512,19979,236584,51994,foreground
Native-T512,5,40,True,ACTIVE_MEMTABLE,N/A (Unflushed),N/A,Remained Below Threshold,21,20000,N/A,0,foreground
AMTV-T512,1,1,False,3,2026-09-07 22:32:56.321729,1788791576321729,Memtable Max Range Deletions,515,515,5893314,712411,foreground
AMTV-T512,1,2,False,6,2026-09-07 22:32:56.330707,1788791576330707,Memtable Max Range Deletions,514,1029,242611,53103,foreground
AMTV-T512,1,3,False,7,2026-09-07 22:32:56.349709,1788791576349709,Memtable Max Range Deletions,512,1541,237433,52109,foreground
